iter	Logloss
0	0.6241859802
1	0.5718767517
2	0.531432312
3	0.4994933533
4	0.4747367004
5	0.4557963074
6	0.4403426758
7	0.4272875793
8	0.4171473267
9	0.4084576385
10	0.4014769073
11	0.3957187592
12	0.3901550262
13	0.3860972748
14	0.3820743103
15	0.3777769318
16	0.3750805847
17	0.3725875183
18	0.3703244293
19	0.3685793884
20	0.3663470673
21	0.3646718323
22	0.3625571838
23	0.3604666443
24	0.3586795837
25	0.3572637146
26	0.35613815
27	0.354547226
28	0.3536163086
29	0.3526838287
30	0.3519316711
31	0.3509935699
32	0.3500543182
33	0.3493579529
34	0.3487227203
35	0.3480007324
36	0.3473665741
37	0.3467399536
38	0.345927533
39	0.3452314331
40	0.3445900146
41	0.3437194244
42	0.3429727478
43	0.3422405609
44	0.3418913147
45	0.3412164459
46	0.3404985718
47	0.3400565186
48	0.339424765
49	0.3388434418
50	0.3382313354
51	0.3376062653
52	0.3371819
53	0.3365029388
54	0.3361297485
55	0.3358321777
56	0.3353657196
57	0.3348170258
58	0.3343455322
59	0.333864447
60	0.3334756226
61	0.3331008087
62	0.3326186127
63	0.33223992
64	0.3319389801
65	0.331677356
66	0.3313789795
67	0.3311762939
68	0.3308440948
69	0.3305448486
70	0.3302261261
71	0.3299555267
72	0.3295397797
73	0.32927883
74	0.3289977295
75	0.3287019806
76	0.3283834137
77	0.3281478577
78	0.3279142761
79	0.3276591492
80	0.3274355469
81	0.3272168365
82	0.3270160004
83	0.3266839844
84	0.3265177643
85	0.3262762695
86	0.3259787689
87	0.325757431
88	0.3254990204
89	0.325311438
90	0.3250449615
91	0.3248453186
92	0.3245601532
93	0.3243362701
94	0.3240721802
95	0.323824762
96	0.3235315125
97	0.3233319275
98	0.3231207031
99	0.3229241638
100	0.3227664185
101	0.3224839905
102	0.322240094
103	0.3220762146
104	0.3218866699
105	0.3216960449
106	0.3214789001
107	0.3213163513
108	0.3211666168
109	0.3208921875
110	0.3205731415
111	0.320349411
112	0.3201665161
113	0.3198227539
114	0.3196080017
115	0.3194396576
116	0.3191461151
117	0.3189336517
118	0.3186745636
119	0.3183275726
120	0.3181941864
121	0.317945752
122	0.3177164703
123	0.3175461853
124	0.3173145844
125	0.317125827
126	0.3169014709
127	0.3167106964
128	0.316492453
129	0.3162707581
130	0.3160599365
131	0.3157864777
132	0.3155643494
133	0.3152698364
134	0.3149558716
135	0.3147935242
136	0.3145700623
137	0.3143999481
138	0.3141691162
139	0.3139504608
140	0.3137909729
141	0.3135771851
142	0.31331362
143	0.3131056458
144	0.3128139099
145	0.3126461487
146	0.312390921
147	0.3121380066
148	0.3119877411
149	0.3117713898
150	0.311578241
151	0.3113489777
152	0.3110340424
153	0.3108611847
154	0.3106665619
155	0.3104278656
156	0.3103016602
157	0.3100588715
158	0.3099072388
159	0.3097110046
160	0.3095630768
161	0.309367984
162	0.3091793701
163	0.3090427612
164	0.3088681854
165	0.3087148682
166	0.3085060242
167	0.3083173676
168	0.3080871826
169	0.3079339844
170	0.3077648193
171	0.3076358612
172	0.3074223236
173	0.3072668732
174	0.3071181885
175	0.3069273743
176	0.3067663757
177	0.3065691559
178	0.3063656494
179	0.3061322388
180	0.3059285919
181	0.3057044922
182	0.305552243
183	0.3053755524
184	0.3052330322
185	0.3051010193
186	0.3049219116
187	0.3047544861
188	0.3045028748
189	0.3043601501
190	0.3041612396
191	0.3039872833
192	0.3037849121
193	0.303592981
194	0.3034086426
195	0.3032349213
196	0.3030882721
197	0.3029283356
198	0.302762384
199	0.3025772675
200	0.3023419403
201	0.3021791351
202	0.3019507996
203	0.3018098816
204	0.3016552307
205	0.3015592041
206	0.3014179443
207	0.3013119873
208	0.3011387329
209	0.3009658875
210	0.300802475
211	0.300660907
212	0.3005272919
213	0.3004065857
214	0.3002026337
215	0.3000425018
216	0.2998879547
217	0.299744278
218	0.2995747864
219	0.2994277252
220	0.2992531525
221	0.2991082489
222	0.2989636902
223	0.2987768951
224	0.2986452728
225	0.2984877747
226	0.2983123749
227	0.2982023285
228	0.2980222809
229	0.2978766785
230	0.2977257111
231	0.2975602295
232	0.2974108551
233	0.297262149
234	0.2971087494
235	0.296939624
236	0.2967452515
237	0.2965877258
238	0.2964079803
239	0.2964026825
240	0.2962411438
241	0.2960905609
242	0.2959980957
243	0.2958405762
244	0.2956752106
245	0.2955357391
246	0.295371579
247	0.2951937744
248	0.2950544769
249	0.2948871033
250	0.2947435791
251	0.2945921356
252	0.2944463257
253	0.2942708221
254	0.2941536407
255	0.2940242157
256	0.2940204742
257	0.293903656
258	0.2937802216
259	0.2936122314
260	0.2934812653
261	0.2933316559
262	0.293183313
263	0.2930221405
264	0.2929017181
265	0.2927637543
266	0.2926868683
267	0.2925634247
268	0.2924079742
269	0.292256781
270	0.2921202972
271	0.2919717194
272	0.2918382843
273	0.2917044525
274	0.2916167877
275	0.2914941406
276	0.291381543
277	0.291227005
278	0.2911250793
279	0.2909831909
280	0.2909041809
281	0.2907698578
282	0.2906306915
283	0.2904652008
284	0.2903114166
285	0.2901828857
286	0.2900736084
287	0.289981958
288	0.2898201111
289	0.2896704163
290	0.2895278137
291	0.2894522095
292	0.2893091675
293	0.2892010193
294	0.2890696259
295	0.2889193787
296	0.2888360138
297	0.2886853821
298	0.2885694641
299	0.2884565002
